date,time,position,keywords,asin,brand,ispromoted,accountid,ks,price,rate,reviews
2019-09-08,5,3,huggies wipes,B07MDRNNP6,Huggies,1,546,KS7246,14.63,4.7,279
2019-09-08,5,3,huggies wipes unscented,B07MRPGS5T,Huggies,1,546,KS7246,8.98,4.7,279
2019-09-08,5,3,natural baby wipes,B07HDBNSJR,Seventh Generation,1,546,KS7246,19.43,4.4,99
2019-09-08,5,3,newborn diaper,B07QZ1KKJ9,Huggies,1,546,KS7246,49.98,4.5,325
2019-09-08,5,3,newborn diapers,B07H38BPJX,Pampers,1,546,KS7246,47.88,3.4,72
2019-09-08,5,3,newborn diapers honest,B07MYVXSDH,Huggies,1,546,KS7246,24.27,4.5,651
2019-09-08,5,3,newborn diapers supersize,B07QZ1KKJ9,Huggies,1,546,KS7246,49.98,4.5,325
2019-09-08,5,3,pamper diapers size 1,B07H38BPJX,Pampers,1,546,KS7246,47.88,3.4,72
2019-09-08,5,3,pampers diapers size 1,B010OVXFCY,Pampers,1,546,KS7246,48.72,4,247
2019-09-08,5,3,pampers size 1,B07DCB7H79,Pampers,1,546,KS7246,27.39,3.9,1009
2019-09-08,5,3,size 1 diapers,B07JQM8BR1,Pampers,1,546,KS7246,50.84,4.2,200
2019-09-08,5,3,size 5 diapers,B07MRQ9PKY,Huggies,1,546,KS7246,46.99,4.5,651
2019-09-08,5,3,swaddlers size 1,B07DCB7H79,Pampers,1,546,KS7246,27.39,3.9,1009
2019-09-08,5,3,swim diaper,B0792MYNY3,Pampers,1,546,KS7246,16.58,4.1,29
2019-09-08,5,3,swim diapers,B0792T8WNZ,Pampers,1,546,KS7246,16.44,4.3,55
2019-09-08,5,3,swimming diapers,B0792MQTV8,Pampers,1,546,KS7246,16.58,4.1,29
2019-09-08,5,3,wipes baby,B07MRPGS5T,Huggies,1,546,KS7246,8.98,4.7,279
2019-09-08,5,4,baby wipes compostable,B07Q2FQT8V,Mum&You,0,546,KS7246,33.99,4.2,19
2019-09-08,5,4,diaper,B07JBM73TV,Pampers,0,546,KS7246,27.29,4.6,124
2019-09-08,5,4,diaper huggies newborn,B07MYVXSDH,Huggies,0,546,KS7246,24.27,4.5,651
2019-09-08,5,4,diaper size 4,B07FJ44QHT,Luvs,0,546,KS7246,24.99,3.6,499
2019-09-08,5,4,diaper size 5,B07F6DP7X9,Luvs,0,546,KS7246,24.99,3.5,521
2019-09-08,5,4,diapers,B07JBM73TV,Pampers,0,546,KS7246,27.29,4.6,124
2019-09-08,5,4,diapers size 1,B018WDLB2W,Pampers,0,546,KS7246,14.88,4.3,167
2019-09-08,5,4,diapers size 4,B07FJ44QHT,Luvs,0,546,KS7246,24.99,3.6,499
2019-09-08,5,4,diapers size 5,B07F6DP7X9,Luvs,0,546,KS7246,24.99,3.5,521
2019-09-08,5,4,diapers size 6,B07F6G42R9,Luvs,0,546,KS7246,28.99,3.7,305
2019-09-08,5,4,honest diapers newborn,B07G4V2J28,The Honest Company,0,546,KS7246,24.82,4.1,552
2019-09-08,5,4,huggies diapers 3,B07QCQKP8D,Huggies,0,546,KS7246,36.73,3.7,292
2019-09-08,5,4,huggies diapers size 1,B07MYW85VT,Huggies,0,546,KS7246,24.27,4.5,651
2019-09-08,5,4,huggies overnites size 5,B07MVN5ZV4,Huggies,0,546,KS7246,24.27,4,5110
2019-09-08,5,4,huggies size 1,B00CHQANSO,Huggies,0,546,KS7246,41.86,3.6,11906
2019-09-08,5,4,huggies size 2,B07M6FLDVZ,Huggies,0,546,KS7246,46.7,4.5,651
2019-09-08,5,4,huggies size 3,B07QCQKP8D,Huggies,0,546,KS7246,36.73,3.7,292
2019-09-08,5,4,huggies size 4,B07QK34WY6,Huggies,0,546,KS7246,31.07,3.7,293
